"","label","type","author","title","journal","year","volume","month","abstract","doi","earlyaccessdate","article_number","issn","eissn","researcherid_numbers","orcid_numbers","unique_id","number","pages","note","organization","citation","notes"
"29","X.WOS.001031922800001","article","Raymond, Sage and St Clair, Colleen Cassady","Coyotes access diverse anthropogenic attractants at the ecotone between natural and residential urban areas","URBAN ECOSYSTEMS","2023","26","DEC","Natural areas in cities are important refugia for wildlife, but some species also use developed areas. Such adaptation may be facilitated at the ecotone between natural and residential areas where wildlife encounter anthropogenic resources. We quantified human activities and objects that potentially attract coyotes (Canis latrans) by providing shelter, food, prey habitat, and novelty items where backyards back onto natural areas in Edmonton, Canada. We related attractant abundance and human demographic variables to coyote access to backyards, scat abundance, and the number and nature of reports detailing interactions with coyotes near the ecotone. Among 468 surveyed backyards, 31\% were accessed by coyotes, and we detected 2055 instances of attractants. Coyotes selectively accessed unfenced backyards with food and novelty items, and backyard access was most common along transects where fences were infrequent, and shelter was abundant. Evidence of deer on transects was weakly correlated with increased prevalence of scats. Public reports describing conflict with coyotes were more frequent in areas with more coyote access to backyards, fewer fences, and more shelter. Weak evidence indicated that food abundance, scat prevalence, and backyard access were higher in areas with larger houses and more university-educated and retired residents. These results suggest that coyotes frequently access attractants at the ecotone between natural and residential areas, which may promote habituation, food conditioning, and human-wildlife conflict. These effects could be reduced, and coexistence could be promoted with clearer boundaries separating natural and residential areas, opposing conventional recommendations for reserve design that encourage gradual transition zones.","10.1007/s11252-023-01402-3","JUL 2023",NA,"1083-8155","1573-1642","St. Clair, Colleen Cassady/A-2953-2016 Raymond, Sage/JUU-2393-2023","St. Clair, Colleen Cassady/0000-0002-3378-795X Raymond, Sage/0000-0003-4199-5457","WOS:001031922800001","6","1589-1605",NA,NA,"Coyotes Access Diverse Anthropogenic Attractants at the Ecotone Between Natural and Residential Urban Areas.",NA
"37","X.WOS.000347597100024","article","Gillon, Charles","Amenity migrants, animals and ambivalent natures: More-than-human encounters at home in the rural residential estate","JOURNAL OF RURAL STUDIES","2014","36","OCT","In light of increased development pressure in rural landscapes, understanding how amenity migrants understand and experience nature is a vital project for rural studies. This paper investigates how residents living in a rural residential estate (RRE) negotiate more-than-human encounters in domestic settings. RREs are emergent forms of master-planned residential development on the rural urban fringe, marketed and designed to meet an idyllic rural lifestyle. In the RRE, domestic nonhuman transgressions are both presumed as a part of the amenity migrant experience, and pre-empted by estate design and regulation. Border encounters in gardens were explored via semi-structured walking interviews with 27 residents of an RRE, located on the rural urban fringe of Sydney, Australia. Nonhuman transgressions were found to both contribute towards, and challenge, homemaking practices. Some residents expressed a vernacular ecology at home entangled with more-than-human company, where nonhumans are `neighbours'. Gardens were shared, and maintenance practices altered. When domestic expectations of cleanliness and order were challenged, native nonhumans were negotiated in gardens with a `hoped-for absence' (Ginn, 2014). These stories illustrate that a native politics of belonging foreshadows the homemaking practices of amenity migrants. The paper suggests settlements similar to RRE can be a positive intervention on the rural urban fringe, encouraging different registers of interaction with nonhuman nature. (C) 2014 Elsevier Ltd. All rights reserved.","10.1016/j.jrurstud.2014.09.005",NA,NA,"0743-0167",NA,NA,"Gillon, Charles/0000-0002-7052-1878","WOS:000347597100024",NA,"262-272",NA,NA,"Amenity Migrants, Animals and Ambivalent Natures: more-than-Human Encounters at Home in the Rural Residential Estate.",NA
"38","X.WOS.000273551600006","article","Decker, Stephen E. and Bath, Alistair J. and Simms, Alvin and Lindner, Uwe and Reisinger, Edgar","The Return of the King or Bringing Snails to the Garden? The Human Dimensions of a Proposed Restoration of European Bison (<i>Bison bonasus</i>) in Germany","RESTORATION ECOLOGY","2010","18","JAN","Human dimensions research can help resource and wildlife managers make informed decisions, target information efforts, and gain a greater understanding of the factors that comprise attitudes toward wildlife management efforts. Despite these often-stated merits, studies addressing the human dimensions of resource and wildlife management efforts are rare in Europe. A proposed restoration of free-ranging European bison (Bison bonasus) in North Rhine-Westphalia, Germany, has presented an opportunity to help address this research gap. During May to July 2006, we used a randomly distributed, self-administered questionnaire (n = 398) to assess local residents' attitudes, beliefs, and levels of support or opposition toward the proposed restoration. These factors were compared across two administrative regions spanned by the proposed restoration area. We found that respondents from the Siegen-Wittgenstein region held significantly more positive attitudes and significantly higher knowledge levels than respondents from the Hochsauerlandkreis region. Principal components analysis revealed that attitudes comprised a general attitude factor pertaining to issues such as the importance of conserving bison for future generations and a lifestyle impact factor, which included items pertaining to bison-caused damages to trees and crops. Logistic regression was used to show the influence of fear of bison on attitudes. We discuss the likely causes and management implications of our findings and provide suggestions to managers wishing to target information efforts and address the concerns of those affected by the proposed restoration.","10.1111/j.1526-100X.2008.00467.x",NA,NA,"1061-2971",NA,NA,NA,"WOS:000273551600006","1","41-51",NA,NA,"The Return of the King or Bringing Snails to the Garden? the Human Dimensions of a Proposed Restoration of European Bison (<i>bison Bonasus</I>) in Germany.",NA
"44","X.WOS.000302713700034","article","van Heezik, Yolanda M. and Dickinson, Katharine J. M. and Freeman, Claire","Closing the Gap: Communicating to Change Gardening Practices in Support of Native Biodiversity in Urban Private Gardens","ECOLOGY AND SOCIETY","2012","17",NA,"Private gardens collectively comprise the largest green space in most cities and the greatest potential for increasing the extent of wildlife-friendly and native-dominated habitat, improving the quality of ecosystem services, and providing opportunities for urban dwellers to reconnect with nature. Because attitudes and values driving landscape preferences in gardens are complex and often not conducive to biodiversity, and a gap exists between the possession of knowledge or values and the expression of pro-environmental behavior, facilitating change in gardening behavior is challenging. We attempted to improve knowledge and influence values, attitudes, and gardening behavior of 55 householders in favor of native biodiversity and environmentally friendly practices, through a two-way communication process, or interactive dialog, during a process of biodiversity documentation of their gardens. Informative feedback on their garden with a normative component was also provided. Despite being well educated and knowledgeable about common species at the start of the study, an increase in knowledge and shift in attitude was detected in 64\% of householders: 40\% reported a greater understanding of wildlife, and 26\% made changes in their gardens, 13\% to support native biodiversity. The normative component of our feedback information was of particular interest to 20\% of householders. Because neighborhood norms influence gardening practices, changes adopted by a proportion of householders should be perpetuated across neighborhoods. The process of biodiversity assessment, dialog, and feedback was effective in improving knowledge of wildlife and native species, and stimulated a shift in attitude that resulted in native-friendly gardening practices. These changes were detected primarily through open self-report questions, rather than quantitative measures.","10.5751/ES-04712-170134",NA,"34","1708-3087",NA,"van Heezik, Yolanda/I-2744-2019 Dickinson, Katharine/M-1728-2017","van Heezik, Yolanda/0000-0003-0494-5311 Dickinson, Katharine/0000-0001-6769-552X","WOS:000302713700034","1",NA,NA,NA,"Closing the Gap: Communicating to Change Gardening Practices in Support of Native Biodiversity in Urban Private Gardens.",NA
"51","X.WOS.000654546000001","article","Collins, Lillian and Paton, Grant D. and Gagne, Sara A.","Testing the Likeable, Therefore Abundant Hypothesis: Bird Species Likeability by Urban Residents Varies Significantly with Species Traits","LAND","2021","10","MAY","The urbanization of landscapes filters bird communities to favor particular species traits, driven in part by the changes that homeowners make to the amount and quality of habitat in yards. We suggest that an ultimate driver of these proximate mechanisms underlying bird community change with respect to urbanization is the likeability of species traits by urban residents. We hypothesize that bird species likeability, modulated by species traits, influences the degree to which homeowners alter the availability and quality of habitat on their properties and thereby affects species population sizes in urbanized landscapes. We refer to this new hypothesis as the Likeable, therefore Abundant Hypothesis. The Likeable, therefore Abundant Hypothesis predicts that (1) bird species likeability varies with species morphological and behavioral traits, (2) homeowners use trait-based likeability as a motivator to modify habitat availability and quality on their properties, and (3) residential habitat availability and quality influences species populations at landscape scales. We tested the first prediction of the Likeable, therefore Abundant Hypothesis using a survey of 298 undergraduate students at the University of North Carolina at Charlotte who were asked to rank their preferences for 85 forest generalist and edge/open country songbird species grouped according to 10 morphological and behavioral traits. Survey respondents preferred very small, primarily blue or black species that are insectivorous, aerial or bark foragers, residents, and culturally unimportant. On the other hand, respondents disliked large or very large, primarily yellow or orange species that forage on the ground and/or forage by flycatching, are migratory, and are culturally important. If the Likeable, therefore Abundant Hypothesis is true, natural resource managers and planners could capitalize on the high likeability of species that are nevertheless negatively affected by urbanization to convince homeowners and residents to actively manage their properties for species conservation.","10.3390/land10050487",NA,"487",NA,"2073-445X",NA,", Sara A./0000-0003-4385-7189 Collins, Lillian/0000-0002-4001-6918","WOS:000654546000001","5",NA,NA,NA,"Testing the Likeable, Therefore Abundant Hypothesis: Bird Species Likeability by Urban Residents Varies Significantly with Species Traits.",NA
"53","X.WOS.001127118300001","article","Zhu, Qinnan and Larson, Kelli L.","Multi-Scalar Drivers of Residential Vegetation Changes in Metropolitan Phoenix, Arizona","ENVIRONMENTAL MANAGEMENT","2023",NA,"2023 DEC 21","In the arid southwestern U.S., urban greening strategies have been promoted to alleviate ecosystem disservices associated with lawns, including the adoption of xeric yards with desert-adapted floras and gravel groundcover and wildlife-friendly yards with complex vegetation structure and composition. Scant studies have investigated the extent of different vegetation changes in urban greening practices and the complexity of associated human drivers. We addressed this gap by analyzing survey data from two survey periods (2017 and 2021) to answer the following questions: to what extent have residents from metropolitan Phoenix made different vegetation changes in their yards over the last decade, and how do multi-scalar human drivers affect different vegetation changes? We found a sustainable trajectory for residential vegetation changes in Phoenix since mid-2010s, with declining additions of grass and increases in trees and desert plants across residential neighborhoods. Esthetics was an influential driver of both tree planting and native gardening. Additionally, tree planting was associated with anthropocentric values (i.e., low-maintenance needs), while desert plant additions reflected the appreciation of nature (i.e., attitudes towards the desert) and environmental concerns (i.e., supporting wildlife). Institutions such as local government programs might shape residents' vegetation choices, as tree planting differed among municipalities. We also found counterintuitive influences of residential tenure controls on landscaping decisions. Specifically, renters were more likely to add yard trees compared to homeowners. Our results inform landscape sustainability by identifying potential pathways to residential yard changes that offer a multitude of services while being appreciated and maintained by residents.","10.1007/s00267-023-01925-7","DEC 2023",NA,"0364-152X","1432-1009",NA,NA,"WOS:001127118300001",NA,NA,NA,NA,"Multi-Scalar Drivers of Residential Vegetation Changes in Metropolitan Phoenix, Arizona.",NA
"58","X.WOS.000428346100016","article","Conover, Michael R. and Hulvey, Kristin B. and Monroe, Megan L. and Fitzgerald, Collin B.","Susceptibility of Spring-Flowering Garden Plants to Herbivory by Mule Deer","WILDLIFE SOCIETY BULLETIN","2018","42","MAR","Many people look forward to spring flowers, only to discover that mule deer (Odocoileus hemionus) have eaten the sprouting plants and flower buds. One potential method to prevent this problem is to grow unpalatable flowering plants in gardens where deer herbivory is expected, but this requires knowledge about the relative palatability of plant species. We examined spring-flowering plants in gardens located in Cache County, Utah, USA (2010 through 2017), and recorded the proportion of leaves and flower buds browsed by mule deer. Mule deer browsing was greatest on tulips (Tulipa spp.), grape hyacinths (Muscari spp.), and crocuses (Crocus spp.) and lowest on iris (Iris spp.) and daffodils (Narcissus spp.) We hypothesized that the first plants to sprout in the spring experienced greater levels of deer herbivory because of the lack of alternate plants that deer can browse during that time of year. To test this hypothesis, we started plants in greenhouses so that they sprouted at the same time. We then placed these plants in locations throughout Cache Valley where there were deer trails and deer feces. Among these plants, tulip, liatris (Liatris spp.), and grape hyacinth were browsed heavily, suggesting that deer found these plants palatable. In contrast, crocus were rarely eaten, suggesting that deer damage on this plant results more from its early sprouting rather than its palatability. Planting unpalatable plants may be a viable approach to reducing homeowners' angst from finding that their spring-flowering plants have been browsed. Wildlife biologists and Cooperative Extension agents should find our results useful when guiding homeowners in selecting which spring-flowering plants to grow in areas where deer herbivory can be expected. (C) 2018 The Wildlife Society.","10.1002/wsb.864",NA,NA,"2328-5540",NA,"hulvey, k/L-4227-2019","hulvey, k/0000-0001-9062-4113","WOS:000428346100016","1","131-135",NA,NA,"Susceptibility of Spring-Flowering Garden Plants to Herbivory by Mule Deer.",NA
"60","X.WOS.000633523200001","article","Burke, Christopher B. and Quinn, Niamh M. and Stapp, Paul","Use of rodenticide bait stations by commensal rodents at the urban-wildland interface: Insights for management to reduce nontarget exposure","PEST MANAGEMENT SCIENCE","2021","77","JUL","BACKGROUND Pest management professionals use anticoagulant rodenticides, usually placed in tamper-resistant bait stations, to control commensal rodents, but significant concerns remain about exposure of nontarget species, especially at the urban-wildland interface. We deployed digital cameras to monitor use of bait stations placed in 90 residential yards across Orange County, California, USA. Two bait stations, supplied with nontoxic bait, were monitored in each yard for approximately 30 consecutive days during two camera-trapping sessions between December 2017 and March 2019. One station was placed on the ground, while the other was elevated 1-1.5 m to determine if elevating stations could reduce nontarget exposure. RESULTS Black rats (Rattus rattus L.) were present at 80\% of sites, with mean activity ranging from 0 to 9.6 h each night. There were no significant differences between elevated and ground stations in the time to discovery, time to bait station entry, or nightly activity of rats. Rats discovered bait stations more quickly, and mean nightly activity was greater, in yards where rats were detected more frequently. Although native rodents visited and entered bait stations occasionally, they were relatively rare among our sites (13.3\%), and were detected five times less often at elevated stations compared to those on the ground. Yards visited by these rodents were significantly nearer to areas of green open space and natural vegetation, and tended to have no significant barriers to entry, e.g. solid fences or walls. CONCLUSIONS By elevating bait stations and avoiding placing rodenticides in yards that are likely to be visited by wildlife, pest management professionals may be able to reduce the risk of nontarget exposure, including secondary poisoning of predators and scavengers, while still providing effective control of commensal pests.","10.1002/ps.6345","MAR 2021",NA,"1526-498X","1526-4998","Stapp, Paul/ABF-1835-2021","Stapp, Paul/0000-0003-1320-1461","WOS:000633523200001","7","3126-3134",NA,NA,"Use of Rodenticide Bait Stations by Commensal Rodents at the Urban-Wildland Interface: Insights for Management to Reduce Nontarget Exposure.",NA
"62","X.WOS.000528963800001","article","van Heezik, Yolanda and Freeman, Claire and Davidson, Katherine and Lewis, Blake","Uptake and Engagement of Activities to Promote Native Species in Private Gardens","ENVIRONMENTAL MANAGEMENT","2020","66","JUL","Activities undertaken by householders in their gardens have huge potential to enhance city-wide biodiversity, but programs aimed at activating householders require an understanding of the factors encouraging or acting as barriers to the uptake of different kinds of activities. We provided 42 householders with two species-enhancing activities, selected from six possibilities, free-of-charge (to remove the barrier of initial cost). We collected socio-demographic data as well as information on knowledge of common urban species, pro-environmental behaviors and nature connectedness. We monitored ongoing engagement at two time points: 1 and 6 months. Characteristics of householders opting for different activities varied in terms of their degree of environmental engagement, their knowledge about common species, and the size of their gardens; e.g., bird feeders and bee planters were popular with people who did not know the names of common species and were not particularly engaged in pro-environmental activities respectively, whereas lizard habitat creation was attractive to people who were already engaged in wildlife gardening activities. Cost to continue with activities was a significant barrier for some people, but most householders were willing to practice relatively inexpensive activities in small spaces. Esthetics was an important factor to be considered when enhancing invertebrate habitat (e.g., bug hotels are more attractive than log piles, and planters for bees contain colorful flowers). A commonly cited barrier was lack of information about wildlife-friendly activities, despite much being available online. Most participants (85\%) talked about their activities with others, potentially acting as influencers and shifting social norms.","10.1007/s00267-020-01294-5","APR 2020",NA,"0364-152X","1432-1009",NA,NA,"WOS:000528963800001","1","42-55",NA,NA,"Uptake and Engagement of Activities to Promote Native Species in Private Gardens.",NA
"81","X.WOS.001113713300001","article","de Montaigu, Cannelle Tassin and Goulson, Dave","Factors influencing butterfly and bumblebee richness and abundance in gardens","SCIENCE OF THE TOTAL ENVIRONMENT","2024","908","JAN 15","Gardens are often depicted as green sanctuaries, providing refuges for wildlife displaced from the countryside due to intensive farming. While gardens have been recognized for their positive impact on biodiversity conservation, few studies have investigated the impact of pesticide usage in domestic gardens. In this study, we explored how butterfly and bumblebee populations in gardens across the UK are influenced by habitat quality, urbanisation level and pesticide use. To achieve this, we engaged with participants in Garden BirdWatch, a weekly garden wildlife recording scheme operated by the British Trust for Ornithology. Participants in the study provided data on the attributes of their garden and surrounding area and were asked to complete a questionnaire about their pesticide practices. Of the 417 gardens from which we obtained useful data, we found that 32.6 \% had pesticides applied to. Urbanisation and garden quality were the main factors influencing insect populations. Butterfly richness was lower in suburban and urban gardens and butterfly abundance lower only in suburban gardens when compared to rural gardens, but this relationship did not hold for bumblebees. Abundance of butterflies and bumblebees, but not their species richness, increased with the habitat quality of gardens. Butterflies were lower in abundance and richness in more northerly gardens, which was not the case for bumblebees. Effects of pesticides were relatively weak, but butterfly richness was 7 \% lower in gardens applying any pesticide. Overall, our study shows that garden butterfly and bumblebee abundance and richness are strongly influenced by both extrinsic and intrinsic factors, and that garden management can have an important positive effect on insect population.","10.1016/j.scitotenv.2023.167995","NOV 2023","167995","0048-9697","1879-1026",NA,NA,"WOS:001113713300001",NA,NA,NA,NA,"Factors Influencing Butterfly and Bumblebee Richness and Abundance in Gardens.",NA
"82","X.WOS.000294683400011","article","Loram, Alison and Warren, Philip and Thompson, Ken and Gaston, Kevin","Urban Domestic Gardens: The Effects of Human Interventions on Garden Composition","ENVIRONMENTAL MANAGEMENT","2011","48","OCT","Private domestic gardens contribute substantially to the biodiversity of urban areas and benefit human health and well-being. We previously reported a study of 267 gardens across five cities in the United Kingdom in which variation in geographical and climatic factors had little bearing on the richness, diversity and composition of plant species. We therefore hypothesise that garden management is an important factor in determining garden characteristics. Here, from the same sample of gardens, we investigate potential associations between the uses to which people put their gardens, the types of management activities they undertake, and the characteristics of those gardens. Householders (n = 265) completed a questionnaire detailing various aspects of garden use and management activities. The majority of respondents used their gardens chiefly for relaxation, recreation, and eating. Fewer than one fifth included ``gardening{''} amongst their garden uses even though all performed some garden management, suggesting that not all management activity resulted from an interest in gardening. Garden-watering and lawn-mowing were the most prevalent activities and were predictors of other types of management including weeding, vegetation-cutting, leaf-collection, and dead-heading flowers. A number of these activities were associated with one another, the richness and composition of plant species, and the number of land uses in gardens. However, relationships between management activities and the amount of tall vegetation were less consistent, and garden management appeared to be independent of garden area. More species of amphibians, birds, and mammals were observed in gardens with ponds and in which efforts were made to attract wildlife, particularly by providing drinking water. This study supports the hypothesis that garden use and management is associated with garden characteristics.","10.1007/s00267-011-9723-3",NA,NA,"0364-152X","1432-1009",NA,"Gaston, Kevin J./0000-0002-7235-7928","WOS:000294683400011","4","808-824",NA,NA,"Urban Domestic Gardens: The Effects of Human Interventions on Garden Composition.",NA
"84","X.WOS.001176056000001","article","Bernard, Alice and Fritz, Herve and Dufour, Anne-Beatrice and Venter, Jan A. and Guerbois, Chloe","A local ecological knowledge-based assessment of anthropodependence for large mammals in anthropogenic landscapes","BIOLOGICAL CONSERVATION","2024","290","FEB","Humans have shaped the environment through landscape transformation, disturbance, and resource exploitation, leading to major habitat modification and fragmentation. Mammal species are massively threatened by these changes and their diversity implies various responses to human disturbance. It is essential to understand the conditions for their persistence in human-dominated landscapes, and the drivers of humans-mammals' coexis- tence to apply relevant conservation measures. The Garden Route Biosphere Reserve, in South Africa, a mosaic landscapes where human activities and wildlife meet, is an ideal site to examine how anthropogenic attributes influence wildlife occurrence. To maximise our area coverage through a replicable, low-cost protocol, we designed an online survey aimed at residents to investigate the effect of landscape metrics and property attributes - the availability and type of anthropogenic resources, the integrity and type of natural habitats, structural disturbances and interferences - on the persistence of mammals in such environments. We collected data from 247 respondents and modelled the drivers of occurrence for 14 mammal species (>500 g). We found speciesspecific responses to synthetic variables describing anthropogenic features in the studied landscape and used the anthropodependence framework to categorise species profiles. We showed that human disturbance combined with the availability of anthropogenic resources and natural habitats defined various categories of species profiles, which should require differential conservation actions. Local ecological knowledge proved promising to understand conditions for mammal persistence in human-dominated landscapes. This method also allowed researchers to engage with a wide variety of stakeholders, thus creating a hub for knowledge exchange.","10.1016/j.biocon.2024.110450","JAN 2024","110450","0006-3207","1873-2917","Fritz, Herve/D-1729-2014 ","Fritz, Herve/0000-0002-7106-3661 Guerbois, Chloe/0000-0003-3746-0548","WOS:001176056000001",NA,NA,NA,NA,"a Local Ecological Knowledge-Based Assessment of Anthropodependence for Large Mammals in Anthropogenic Landscapes.",NA
"88","X.WOS.000825282800001","article","Andrade, Riley and Larson, Kelli L. and Franklin, Janet and Lerman, Susannah B. and Bateman, Heather L. and Warren, Paige S.","Species traits explain public perceptions of human-bird interactions","ECOLOGICAL APPLICATIONS","2022","32","DEC","The impacts of urbanization on bird biodiversity depend on human-environment interactions that drive land management. Although a commonly studied group, less attention has been given to public perceptions of birds close to home, which can capture people's direct, everyday experiences with urban biodiversity. Here, we used ecological and social survey data collected in the metropolitan region of Phoenix, Arizona, USA, to determine how species traits are related to people's perceptions of local bird communities. We used a trait-based approach to classify birds by attributes that may influence human-bird interactions, including color, size, foraging strata, diet, song, and cultural niche space based on popularity and geographic specificity. Our classification scheme using hierarchical clustering identified four trait categories, labeled as Metropolitan (gray, loud, seedeaters foraging low to ground), Familiar (yellow/brown generalist species commonly present in suburban areas), Distinctive (species with distinguishing appearance and song), and Hummingbird (hummingbird species, small and colorful). Strongly held beliefs about positive or negative traits were also more consistent than ambivalent ones. The belief that birds were colorful and unique to the regional desert environment was particularly important in fortifying perceptions. People largely perceived hummingbird species and birds with distinctive traits positively. Similarly, urban-dwelling birds from the metropolitan trait group were related to negative perceptions, probably due to human-wildlife conflict. Differences arose across sociodemographics (including income, age, education, and Hispanic/Latinx identity), but explained a relatively low amount of variation in perceptions compared with the bird traits present in the neighborhood. Our results highlight how distinctive aesthetics, especially color and song, as well as traits related to foraging and diet drive perceptions. Increasing people's direct experiences with iconic species tied to the region and species with distinguishing attributes has the potential to improve public perceptions and strengthen support for broader conservation initiatives in and beyond urban ecosystems.","10.1002/eap.2676","JUL 2022","e2676","1051-0761","1939-5582","Franklin, Janet/G-6538-2013 ","Franklin, Janet/0000-0003-0314-4598 Bateman, Heather/0000-0002-3573-3824 Lerman, Susannah/0000-0002-2331-8439","WOS:000825282800001","8",NA,NA,NA,"Species Traits Explain Public Perceptions of Human-Bird Interactions.",NA
"90","X.WOS.000603167000002","article","Bridge, Bethany and Harris, Stephen","Do urban red foxes attack people? An exploratory study and review of incidents in Britain","HUMAN-WILDLIFE INTERACTIONS","2020","14","FAL","Human-wildlife interactions are believed to be increasing worldwide, and a number of studies have analyzed the risks posed by larger carnivores. However, people can also perceive smaller species of carnivores as threatening, particularly in urban areas. Red foxes (Vulpes vulpes) started to colonize British cities in the 1930s, and there is growing public concern about foxes biting people, particularly babies. These events are generally described in the press as attacks and generate intense media coverage and speculation that foxes view human infants as potential prey. Because foxes rely primarily on auditory cues for hunting, we conducted acoustic playback experiments in the gardens of 15 residential houses in northwest Bristol, United Kingdom, in December 2015 and 11 gardens from May to June 2016 to determine whether urban foxes were attracted to infant distress calls (cries). Foxes were not more likely to be attracted to infant cries or laughs than silence, although a minority of foxes cautiously approached and contacted the source of both types of infant vocalization. Their behavior appeared to be investigative rather than aggressive or predatory. Our review of the incidents reported in the British media showed that most people were bitten or scratched while sleeping, and adults were more likely to be bitten than children. The nature of the interactions and the wounds inflicted suggest that the foxes were using their mouth or forefeet to investigate an unusual object. Most incidents occurred inside people's homes, even though it is unusual for foxes to enter houses. The data suggested that incidents where people were bitten were chance events, possibly involving a particularly bold fox. To minimize the risk to the public, more quantitative data are required on the age, social status, and health of the foxes that enter houses and those that bite people.",NA,NA,NA,"1934-4392","1936-8046",NA,NA,"WOS:000603167000002","2","151-165",NA,NA,"Do Urban Red Foxes Attack People? an Exploratory Study and Review of Incidents in Britain.",NA
"97","X.WOS.000387153800002","article","Blair, Sera A. E. and Wescott, Geoffrey and Miller, Kelly K.","Backyard bandicoots: community attitudes towards conservation planning in residential developments","AUSTRALASIAN JOURNAL OF ENVIRONMENTAL MANAGEMENT","2016","23","SEP","As global populations grow, cities are stretching their urban boundaries into rural areas and bringing the challenges of biodiversity conservation into the backyards of homeowners. Planning controls can attempt to regulate residents' behaviours to support conservation actions for threatened species but need to consider whether community attitudes align with conservation objectives. This study investigated community attitudes towards planned management interventions in a new conservation strategy designed to protect endangered Southern Brown Bandicoots in new residential estates around Cranbourne, Australia. A survey (n=318, response rate 15.2 per cent) investigated current resident attitudes towards bandicoot conservation, cat ownership and effectiveness of current planning controls. Results indicate community support for a range of bandicoot conservation actions including confinement of domestic cats and non-lethal cat controls and for new developments being cat-free with bandicoot habitat corridors. Awareness of bandicoots correlated with higher support for conservation actions while cat owners were less supportive overall, particularly to limitations on cat ownership. Potential barriers to management interventions include inadequate knowledge, perceived associated risks and housing turnover. This information is valuable for conservation planning for new developments and to improve implementation of planning controls in existing residential areas for delivery of long-term protection for threatened species like Southern Brown Bandicoots.","10.1080/14486563.2015.1111171",NA,NA,"1448-6563","2159-5356","Miller, Kelly/C-9320-2009","Miller, Kelly/0000-0003-4360-6232","WOS:000387153800002","3","227-244",NA,NA,"Backyard Bandicoots: Community Attitudes Towards Conservation Planning in Residential Developments.",NA
"99","X.WOS.001129704600001","article","Smith, Paul and Mcmanus, Phil","Geographies of Coexistence: negotiating urban space with the Grey-Headed Flying-Fox","AUSTRALIAN GEOGRAPHER","2024","55","JAN 2","The global phenomena of wildlife migration to urban areas unsettle notions of the city being exclusively for humans. Using a dialogue between urban political ecology and multispecies ethnographies we explore entanglement as a way forward for humans and non-humans to work together. Over the last two decades the Grey-Headed Flying-Fox has become increasingly prevalent in the urbanised spaces of south-east Australia, establishing roosts in trees in urban parks, recreational areas and residential yards. Human-flying-fox relations are complex, and tensions between demands for lethal control and recognition of their ecological role and threatened species status forces humans to negotiate urban space for coexistence. Public policy and planning documents are analysed to identify emerging narratives as coexistence is negotiated around human amenity, the withdrawal of what we call the social licence to harm, legislative conservation and flying-fox agency.","10.1080/00049182.2023.2289198","DEC 2023",NA,"0004-9182","1465-3311",NA,NA,"WOS:001129704600001","1","95-114",NA,NA,"Geographies of Coexistence: Negotiating Urban Space with the Grey-Headed Flying-Fox.",NA
"106","X.WOS.000410014100007","article","Narango, Desiree L. and Tallamy, Douglas W. and Marra, Peter P.","Native plants improve breeding and foraging habitat for an insectivorous bird","BIOLOGICAL CONSERVATION","2017","213","SEP","Understanding how introduced plants reduce food web complexity is critical to effective conservation management within human-dominated systems. In urban breeding birds, the paucity of dietary specialists suggests that a lack of food resources, such as arthropod prey essential for reproduction and survival, may contribute to bird declines. Local plant species composition and abundance is influenced by the landscaping decisions of private homeowners and may be contributing to differences in insect prey availability. In this study, we examined whether non-native plants are a limiting factor to a resident breeding insectivore, the Carolina chickadee (Poecile carolinensis). We used caterpillar counts, chickadee foraging observations and detection-corrected hierarchical models, to determine the influence of local landscaping features on insect food availability, chickadee tree preference, site occupancy, site abundance and breeding territory selection. Native plants were more likely to host a higher biomass of caterpillars compared to non-native plants, and chickadees strongly preferred to forage in native plants that supported the most caterpillars. In addition, chickadees were less likely to breed in yards as the dominance of non-native plants increased. Chickadee occupancy increased with tree basal area and chickadee abundance declined as impermeable surface area increased and basal area decreased. Our results demonstrate that non-native plants reduce habitat suitability for chickadees by reducing insect food available for breeding. Improving human-dominated landscapes as wildlife habitat should include increasing native, and arthropod-producing, plant species to effectively support the life history needs of insectivorous birds.","10.1016/j.biocon.2017.06.029",NA,NA,"0006-3207","1873-2917","Narango, Desiree/AAU-8343-2020 ","Narango, Desiree/0000-0002-8307-2573 Marra, Peter/0000-0002-0508-7577 Tallamy, Douglas/0000-0002-9207-6293","WOS:000410014100007","A","42-50",NA,NA,"Native Plants Improve Breeding and Foraging Habitat for an Insectivorous Bird.",NA
